681448197,FALSE,finalized,3,2/25/15 2:26,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2/24/15 8:49,5.70264E+17,,
681448213,FALSE,finalized,3,2/25/15 9:04,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2/24/15 5:05,5.70208E+17,"San Mateo, CA & Las Vegas, NV",
681448214,FALSE,finalized,3,2/25/15 9:14,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2/23/15 23:34,5.70125E+17,Brooklyn,Atlantic Time (Canada)
681448223,FALSE,finalized,3,2/25/15 1:57,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2/23/15 21:10,5.70088E+17,Washington DC,Quito
681448228,FALSE,finalized,3,2/25/15 1:01,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2/23/15 20:24,5.70077E+17,Texas,Central Time (US & Canada)
681448249,FALSE,finalized,3,2/25/15 6:26,neutral,1,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _Ÿç·_Ÿ‘ç_Ÿ’ºâœˆï¸è,"[34.0219817, -118.38591198]",2/23/15 16:24,5.70016E+17,Los Angeles,
681448292,FALSE,finalized,3,2/25/15 8:08,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _Ÿ˜ç_Ÿ‘Œ","[33.57963333, -117.73024772]",2/23/15 14:30,5.69988E+17,,
681448308,FALSE,finalized,3,2/25/15 3:22,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2/23/15 13:08,5.69967E+17,New York + Panama,Eastern Time (US & Canada)
681448319,FALSE,finalized,3,2/25/15 6:39,positive,1,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2/23/15 11:32,5.69943E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
681448391,FALSE,finalized,3,2/25/15 1:48,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",2/23/15 7:28,5.69882E+17,"Dallas, TX",
